code,name,specialty,schemes,cap_inr,length_of_stay_days,notes,source
BM001A,% Total Body Surface Area Burns (TBSA),Plastic,PMJAY,7000,3,% Total Body Surface Area Burns (TBSA):less than 20% in adults and less than 10% in children younger than 12 years. Dressing without anesthesia,pmjay_hbp_2022
BM001B,% Total Body Surface Area Burns (TBSA),Plastic,PMJAY,50000,3,"% Total Body Surface Area Burns (TBSA): Upto 25%; Includes % TBSA skin grafted, flap cover, follow- up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",pmjay_hbp_2022
BM001C,% Total Body Surface Area Burns (TBSA),Plastic,PMJAY,62500,3,"% Total Body Surface Area Burns (TBSA): 25-40 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",pmjay_hbp_2022
BM001D,% Total Body Surface Area Burns (TBSA),Plastic,PMJAY,100000,3,"% Total Body Surface Area Burns (TBSA):40- 60 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",pmjay_hbp_2022
BM001E,% Total Body Surface Area Burns (TBSA),Plastic,PMJAY,100000,3,"% Total Body Surface Area Burns (TBSA):60-80 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",pmjay_hbp_2022
BM002A,% Total Body Surface Area Burns (TBSA),Plastic,PMJAY,7000,3,% Total Body Surface Area Burns (TBSA): less than 20% in adults and less than 10% in children younger than 12 years. Dressing without anesthesia,pmjay_hbp_2022
BM002B,% Total Body Surface Area Burns (TBSA),Plastic,PMJAY,50000,3,"% Total Body Surface Area Burns (TBSA): Upto 25%; Includes % TBSA skin grafted, flap cover, follow- up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",pmjay_hbp_2022
BM002C,% Total Body Surface Area Burns (TBSA),Plastic,PMJAY,62500,3,"% Total Body Surface Area Burns (TBSA): 25-40 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",pmjay_hbp_2022
BM002D,% Total Body Surface Area Burns (TBSA),Plastic,PMJAY,100000,3,"% Total Body Surface Area Burns (TBSA):40- 60 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",pmjay_hbp_2022
BM002E,% Total Body Surface Area Burns (TBSA),Plastic,PMJAY,100000,3,"% Total Body Surface Area Burns (TBSA):60-80 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",pmjay_hbp_2022
